title,year,network
The Sopranos,1999,HBO
Breaking Bad,2008,AMC
Game of Thrones,2011,HBO
The Wire,2002,HBO
Mad Men,2007,AMC
The West Wing,1999,NBC
The Crown,2016,Netflix
Stranger Things,2016,Netflix
True Detective,2014,HBO
The Americans,2013,FX
Fargo,2014,FX
Lost,2004,ABC
The Office (US),2005,NBC
Homeland,2011,Showtime
Sherlock,2010,BBC One
Better Call Saul,2015,AMC
Westworld,2016,HBO
Boardwalk Empire,2010,HBO
Downton Abbey,2010,ITV/PBS
House of Cards,2013,Netflix
Mindhunter,2017,Netflix
Twin Peaks: The Return,2017,Showtime
Oz,1997,HBO
Stranger Things,2016,Netflix
The Handmaid's Tale,2017,Hulu
True Blood,2008,HBO
The Big Bang Theory,2007,CBS
The Walking Dead,2010,AMC
Friday Night Lights,2006,NBC
Deadwood,2004,HBO
The Good Wife,2009,CBS
True Detective,2014,HBO
The Marvelous Mrs. Maisel,2017,Amazon Prime Video
Hannibal,2013,NBC
The Leftovers,2014,HBO
Black Mirror,2011,Channel 4/Netflix
Orange Is the New Black,2013,Netflix
Battlestar Galactica,2004,Syfy
Justified,2010,FX
Fleabag,2016,BBC Three/Amazon Prime Video
Mr. Robot,2015,USA Network
Parks and Recreation,2009,NBC
Six Feet Under,2001,HBO
The Shield,2002,FX
The Good Place,2016,NBC
Firefly,2002,Fox
The Newsroom,2012,HBO
The Man in the High Castle,2015,Amazon Prime Video
Person of Interest,2011,CBS
The Handmaid's Tale,2017,Hulu
The Haunting of Hill House,2018,Netflix
The X-Files,1993,FOX
Sherlock,2010,BBC One
Peaky Blinders,2013,BBC Two/Netflix
The Crown,2016,Netflix
Sons of Anarchy,2008,FX
Buffy the Vampire Slayer,1997,The WB/UPN
Narcos,2015,Netflix
Alias,2001,ABC
The West Wing,1999,NBC
Fargo,2014,FX
Deadwood,2004,HBO
Better Call Saul,2015,AMC
The Americans,2013,FX
Mad Men,2007,AMC
The Office (US),2005,NBC
Stranger Things,2016,Netflix
Game of Thrones,2011,HBO
Breaking Bad,2008,AMC
The Sopranos,1999,HBO
The Walking Dead,2010,AMC
The Wire,2002,HBO
Westworld,2016,HBO
The Crown,2016,Netflix
House of Cards,2013,Netflix
The Big Bang Theory,2007,CBS
Lost,2004,ABC
Sherlock,2010,BBC One
The Office (US),2005,NBC
Fargo,2014,FX
Downton Abbey,2010,ITV/PBS
The Good Place,2016,NBC
Stranger Things,2016,Netflix
True Detective,2014,HBO
Breaking Bad,2008,AMC
Game of Thrones,2011,HBO
Mad Men,2007,AMC
The West Wing,1999,NBC
The Americans,2013,FX
Better Call Saul,2015,AMC
The Marvelous Mrs. Maisel,2017,Amazon Prime Video
Homeland,2011,Showtime
True Blood,2008,HBO
Oz,1997,HBO
The Haunting of Hill House,2018,Netflix
The Leftovers,2014,HBO
Black Mirror,2011,Channel 4/Netflix
Orange Is the New Black,2013,Netflix
Hannibal,2013,NBC
The Shield,2002,FX
Justified,2010,FX
The Newsroom,2012,HBO
Parks and Recreation,2009,NBC
The Man in the High Castle,2015,Amazon Prime Video
The X-Files,1993,FOX
Sherlock,2010,BBC One
Person of Interest,2011,CBS
Sons of Anarchy,2008,FX
Peaky Blinders,2013,BBC Two/Netflix
Fleabag,2016,BBC Three/Amazon Prime Video
Narcos,2015,Netflix
The Handmaid's Tale,2017,Hulu
The Americans,2013,FX
The West Wing,1999,NBC
Friday Night Lights,2006,NBC
Alias,2001,ABC
The Office (US),2005,NBC
Better Call Saul,2015,AMC
Game of Thrones,2011,HBO
Breaking Bad,2008,AMC
The Sopranos,1999,HBO
The Walking Dead,2010,AMC
The Wire,2002,HBO
Mad Men,2007,AMC
Stranger Things,2016,Netflix
The Crown,2016,Netflix
House of Cards,2013,Netflix
The Big Bang Theory,2007,CBS
Lost,2004,ABC
True Detective,2014,HBO
Sherlock,2010,BBC One
Downton Abbey,2010,ITV/PBS
The Good Place,2016,NBC
Fargo,2014,FX
Westworld,2016,HBO
Homeland,2011,Showtime
The Americans,2013,FX
True Blood,2008,HBO
The Marvelous Mrs. Maisel,2017,Amazon Prime Video
The Leftovers,2014,HBO
Black Mirror,2011,Channel 4/Netflix
Hannibal,2013,NBC
Orange Is the New Black,2013,Netflix
Justified,2010,FX
The Shield,2002,FX
Parks and Recreation,2009,NBC
The Newsroom,2012,HBO
The X-Files,1993,FOX
Sons of Anarchy,2008,FX
Peaky Blinders,2013,BBC Two/Netflix
Fleabag,2016,BBC Three/Amazon Prime Video
The Man in the High Castle,2015,Amazon Prime Video
Person of Interest,2011,CBS
Friday Night Lights,2006,NBC
The Handmaid's Tale,2017,Hulu